iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
<environment.Job instance at 0x7fef6d4385f0>,5,24,[1 5],6,6,30,6
<environment.Job instance at 0x7fef6d438960>,6,20,[6 1],7,14,34,7
<environment.Job instance at 0x7fef6d438a00>,7,25,[6 2],8,14,39,10
<environment.Job instance at 0x7fef6d438780>,4,21,[1 6],5,10,31,10
<environment.Job instance at 0x7fef6d438a50>,9,18,[ 2 13],10,34,52,25
<environment.Job instance at 0x7fef6d438b90>,10,18,[ 3 11],11,52,70,43
<environment.Job instance at 0x7fef6d3c3050>,0,16,[12  2],1,1,17,1
<environment.Job instance at 0x7fef6d864a50>,4,13,[13  1],5,17,30,6
<environment.Job instance at 0x7fef6d8645a0>,6,12,[3 6],7,30,42,13
<environment.Job instance at 0x7fef6d864320>,3,17,[5 7],4,30,47,18
<environment.Job instance at 0x7fef6d864370>,8,14,[2 7],9,42,56,28
<environment.Job instance at 0x7fef6d864280>,9,17,[1 6],10,47,64,35
<environment.Job instance at 0x7fef6d864dc0>,1,20,[5 3],2,56,76,49
<environment.Job instance at 0x7fef6cb0f460>,4,12,[4 6],5,5,17,5
<environment.Job instance at 0x7fef6d864af0>,5,12,[14  5],6,17,29,6
<environment.Job instance at 0x7fef6cb0f5a0>,2,16,[ 3 13],3,29,45,17
<environment.Job instance at 0x7fef6cb0f5f0>,0,18,[2 7],1,45,63,36
<environment.Job instance at 0x7fef6ce69c30>,2,14,[14  4],3,4,18,4
<environment.Job instance at 0x7fef6cc10c30>,0,14,[1 8],1,6,20,6
<environment.Job instance at 0x7fef6ce27e60>,6,14,[9 5],7,18,32,7
<environment.Job instance at 0x7fef6cea7a00>,5,20,[12  4],6,32,52,23
<environment.Job instance at 0x7fef6cd92640>,1,25,[ 1 11],2,35,60,35
<environment.Job instance at 0x7fef6ce27aa0>,9,15,[1 7],10,60,75,46
<environment.Job instance at 0x7fef6cb3fbe0>,0,14,[2 7],1,3,17,3
<environment.Job instance at 0x7fef6d054d20>,3,14,[12  2],4,4,18,4
<environment.Job instance at 0x7fef6cb632d0>,1,14,[13  5],2,18,32,7
<environment.Job instance at 0x7fef6c992e10>,7,13,[ 4 12],8,32,45,17
<environment.Job instance at 0x7fef6c992d20>,8,18,[12  2],9,45,63,34
<environment.Job instance at 0x7fef6ce27aa0>,5,16,[2 8],6,45,61,36
<environment.Job instance at 0x7fef6c996190>,9,15,[12  3],10,63,78,49
<environment.Job instance at 0x7fef6d201b40>,0,26,[8 4],1,1,27,1
<environment.Job instance at 0x7fef6c9961e0>,1,12,[11  1],2,27,39,10
<environment.Job instance at 0x7fef6c996190>,2,14,[5 5],3,39,53,24
<environment.Job instance at 0x7fef6d201140>,4,27,[ 1 10],5,24,51,24
<environment.Job instance at 0x7fef6d2010f0>,8,20,[11  2],9,53,73,45
<environment.Job instance at 0x7fef6df07370>,0,25,[6 3],1,1,26,1
<environment.Job instance at 0x7fef6df076e0>,4,24,[5 5],5,6,30,6
<environment.Job instance at 0x7fef6df077d0>,3,13,[12  4],4,30,43,16
<environment.Job instance at 0x7fef6df07690>,7,22,[3 9],8,26,48,22
<environment.Job instance at 0x7fef6df07c80>,1,20,[11  1],2,43,63,34
<environment.Job instance at 0x7fef6df07820>,6,26,[ 1 13],7,48,74,45
<environment.Job instance at 0x7fef6df07550>,9,14,[14  2],10,63,77,48
<environment.Job instance at 0x7fef6d2712d0>,0,12,[14  1],1,1,13,1
<environment.Job instance at 0x7fef6d271d70>,1,28,[ 1 13],2,2,30,2
<environment.Job instance at 0x7fef6c9e4eb0>,6,16,[3 9],7,30,46,17
<environment.Job instance at 0x7fef6d0a30a0>,7,22,[11  2],8,17,39,17
<environment.Job instance at 0x7fef6c9e4dc0>,4,15,[5 5],5,39,54,26
<environment.Job instance at 0x7fef6d0a3140>,8,12,[ 5 10],9,46,58,29
<environment.Job instance at 0x7fef6d0a32d0>,10,12,[ 3 14],11,58,70,41
<environment.Job instance at 0x7fef6d3765f0>,0,22,[ 5 12],1,1,23,1
<environment.Job instance at 0x7fef6d0a3320>,1,13,[4 9],2,23,36,7
<environment.Job instance at 0x7fef6d376b40>,3,15,[ 1 13],4,36,51,25
<environment.Job instance at 0x7fef6d0a32d0>,2,15,[14  2],3,36,51,30
<environment.Job instance at 0x7fef6d376b90>,6,17,[14  5],7,51,68,39
<environment.Job instance at 0x7fef6cb3f190>,0,17,[8 1],1,1,18,1
<environment.Job instance at 0x7fef6cb3f320>,1,15,[14  5],2,18,33,4
<environment.Job instance at 0x7fef6dd66910>,6,14,[ 4 10],7,33,47,18
<environment.Job instance at 0x7fef6ccd0e60>,2,13,[14  1],3,47,60,32
<environment.Job instance at 0x7fef6d97df00>,8,12,[8 5],9,33,45,32
<environment.Job instance at 0x7fef6dc10f50>,0,15,[5 1],1,1,16,1
<environment.Job instance at 0x7fef6d2e0780>,1,18,[5 9],2,2,20,2
<environment.Job instance at 0x7fef6d247320>,2,12,[12  4],3,20,32,3
<environment.Job instance at 0x7fef6c9f7140>,3,21,[ 2 11],4,20,41,15
<environment.Job instance at 0x7fef6c9f7500>,8,12,[2 5],9,41,53,24
<environment.Job instance at 0x7fef6c9f75a0>,9,16,[6 5],10,41,57,28
<environment.Job instance at 0x7fef6c9f7320>,6,14,[5 9],7,53,67,41
<environment.Job instance at 0x7fef6d132500>,0,17,[12  4],1,1,18,1
<environment.Job instance at 0x7fef6d1320a0>,3,14,[ 5 12],4,18,32,11
<environment.Job instance at 0x7fef6d132230>,5,25,[7 3],6,18,43,14
<environment.Job instance at 0x7fef6d1328c0>,7,12,[ 3 14],8,43,55,26
<environment.Job instance at 0x7fef6d303a50>,0,18,[14  3],1,1,19,1
<environment.Job instance at 0x7fef6d303aa0>,1,18,[6 1],2,19,37,8
<environment.Job instance at 0x7fef6dd79af0>,2,19,[1 7],3,8,27,8
<environment.Job instance at 0x7fef6d303640>,4,23,[ 2 11],5,27,50,25
<environment.Job instance at 0x7fef6d303730>,8,17,[7 1],9,25,42,25
<environment.Job instance at 0x7fef6d3037d0>,9,21,[11  1],10,42,63,34
<environment.Job instance at 0x7fef6d303b90>,10,14,[12  4],11,63,77,48
<environment.Job instance at 0x7fef6da9b0a0>,0,18,[7 3],1,1,19,1
<environment.Job instance at 0x7fef6cc38e60>,4,21,[6 5],5,6,27,6
<environment.Job instance at 0x7fef6cc38f00>,6,20,[3 6],7,19,39,10
<environment.Job instance at 0x7fef6cc38f50>,7,13,[9 4],8,27,40,11
<environment.Job instance at 0x7fef6cc38fa0>,8,19,[ 5 10],9,39,58,29
<environment.Job instance at 0x7fef6cc2e0f0>,9,15,[7 3],10,40,55,30
<environment.Job instance at 0x7fef6cc2e2d0>,10,17,[4 7],11,58,75,46
<environment.Job instance at 0x7fef6cc2e230>,11,17,[4 5],12,55,72,46
<environment.Job instance at 0x7fef6cc0e0a0>,0,27,[ 3 14],1,1,28,1
<environment.Job instance at 0x7fef6cc57d20>,5,16,[10  2],6,28,44,15
<environment.Job instance at 0x7fef6cc2e410>,1,20,[5 6],2,28,48,19
<environment.Job instance at 0x7fef6cc574b0>,7,12,[ 5 12],8,48,60,31
<environment.Job instance at 0x7fef6cc576e0>,8,17,[5 5],9,60,77,48
<environment.Job instance at 0x7fef6cc571e0>,9,13,[8 2],10,48,61,48
<environment.Job instance at 0x7fef6d7e39b0>,0,18,[1 5],1,2,20,2
<environment.Job instance at 0x7fef6da5c3c0>,2,14,[14  1],3,3,17,3
<environment.Job instance at 0x7fef6da5c9b0>,5,13,[ 2 10],6,17,30,7
<environment.Job instance at 0x7fef6da5c140>,3,16,[ 4 12],4,30,46,17
<environment.Job instance at 0x7fef6da5cc80>,6,17,[ 5 14],7,46,63,38
<environment.Job instance at 0x7fef6ca9b230>,0,24,[11  5],1,1,25,1
