name,value,timestep,step
MeanEntropy,1.8607414,0,17
NumTrajs,300,0,18
NumTimesteps,43690,0,18
MaxRew,-12.286017388835242,0,18
MeanRew_lower,4.729422926602419,0,18
MeanRew_upper,-16.8107952943646,0,18
MeanSlowdown,5.779636363636364,0,18
MeanLen+,145.63333333333333,0,18
MeanLen-,31.38883382492712,0,18
MeanEntropy,2.0936236,0,18
NumTrajs,300,0,19
NumTimesteps,52880,0,19
MaxRew,-11.900696430113141,0,19
MeanRew_lower,4.897684382312586,0,19
MeanRew_upper,-16.490208931935992,0,19
MeanSlowdown,5.328895945285784,0,19
MeanLen+,176.26666666666668,0,19
MeanLen-,98.71589987883861,0,19
MeanEntropy,1.8700365,0,19
NumTrajs,300,0,20
NumTimesteps,50541,0,20
MaxRew,-11.71322760134095,0,20
MeanRew_lower,4.606133982200365,0,20
MeanRew_upper,-15.980351002769263,0,20
MeanSlowdown,5.207993176556598,0,20
MeanLen+,168.47,0,20
MeanLen-,88.66470041679496,0,20
MeanEntropy,1.9168315,0,20
NumTrajs,300,0,21
NumTimesteps,48982,0,21
MaxRew,-11.702960732119385,0,21
MeanRew_lower,5.089872810361492,0,21
MeanRew_upper,-16.29587297185839,0,21
MeanSlowdown,5.3180933852140075,0,21
MeanLen+,163.27333333333334,0,21
MeanLen-,82.5160102983388,0,21
MeanEntropy,1.892367,0,21
NumTrajs,300,0,22
NumTimesteps,44579,0,22
MaxRew,-11.956850979031191,0,22
MeanRew_lower,5.025706972665733,0,22
MeanRew_upper,-16.55089172635675,0,22
MeanSlowdown,5.564447677943495,0,22
MeanLen+,148.59666666666666,0,22
MeanLen-,40.0527234474206,0,22
MeanEntropy,1.9665815,0,22
NumTrajs,300,0,23
NumTimesteps,42405,0,23
MaxRew,-11.756957230055054,0,23
MeanRew_lower,4.403736873367857,0,23
MeanRew_upper,-15.97350097124044,0,23
MeanSlowdown,5.214866011883109,0,23
MeanLen+,141.35,0,23
MeanLen-,39.919679774934735,0,23
MeanEntropy,1.9777908,0,23
NumTrajs,300,0,24
NumTimesteps,42976,0,24
MaxRew,-11.424935749142938,0,24
MeanRew_lower,4.875150584507829,0,24
MeanRew_upper,-16.067469194919866,0,24
MeanSlowdown,5.328401649284501,0,24
MeanLen+,143.25333333333333,0,24
