iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
<environment.Job instance at 0x7f981a82fdc0>,1,2,[13  1],2,15,17,2
<environment.Job instance at 0x7f981ab7d320>,3,1,[10  2],4,4,5,4
<environment.Job instance at 0x7f9819de4fa0>,5,2,[9 5],6,6,8,6
<environment.Job instance at 0x7f9819e07230>,8,22,[5 2],9,17,39,10
<environment.Job instance at 0x7f9819e07370>,9,12,[ 5 10],10,17,29,10
<environment.Job instance at 0x7f9819e07190>,10,17,[7 5],11,29,46,19
<environment.Job instance at 0x7f9819e074b0>,11,12,[3 8],12,29,41,19
<environment.Job instance at 0x7f9819e07410>,12,21,[4 8],13,41,62,33
<environment.Job instance at 0x7f9819e075f0>,13,15,[4 6],14,46,61,34
<environment.Job instance at 0x7f981a33a230>,0,21,[7 4],1,1,22,1
<environment.Job instance at 0x7f9819e07640>,1,2,[ 2 14],2,22,24,2
<environment.Job instance at 0x7f9823597230>,5,2,[12  2],6,24,26,7
<environment.Job instance at 0x7f9823597640>,6,14,[ 2 10],7,8,22,8
<environment.Job instance at 0x7f9823597190>,8,2,[13  3],9,26,28,9
<environment.Job instance at 0x7f9823597e60>,9,22,[12  3],10,28,50,21
<environment.Job instance at 0x7f9819e075f0>,3,3,[ 2 11],4,27,30,27
<environment.Job instance at 0x7f9823597f50>,4,22,[1 7],5,30,52,29
<environment.Job instance at 0x7f9823597910>,12,3,[7 4],13,50,53,29
<environment.Job instance at 0x7f9823597f00>,13,17,[5 1],14,50,67,38
<environment.Job instance at 0x7f9823597cd0>,10,14,[ 5 10],11,53,67,39
<environment.Job instance at 0x7f981a5991e0>,0,16,[10  4],1,1,17,1
<environment.Job instance at 0x7f9819e969b0>,3,1,[11  5],4,17,18,5
<environment.Job instance at 0x7f9823539370>,6,17,[7 4],7,18,35,7
<environment.Job instance at 0x7f9823539910>,7,14,[ 5 11],8,18,32,8
<environment.Job instance at 0x7f981a551960>,8,12,[8 5],9,32,44,15
<environment.Job instance at 0x7f98235396e0>,9,21,[9 2],10,44,65,36
<environment.Job instance at 0x7f981a7c6500>,0,1,[1 9],1,1,2,1
<environment.Job instance at 0x7f9819ea4050>,1,3,[ 5 12],2,2,5,2
<environment.Job instance at 0x7f9819aed460>,2,3,[8 5],3,5,8,3
<environment.Job instance at 0x7f98235396e0>,4,1,[14  3],5,8,9,6
<environment.Job instance at 0x7f9819cb4320>,5,3,[9 2],6,9,12,7
<environment.Job instance at 0x7f9819cb4410>,8,12,[2 5],9,10,22,10
<environment.Job instance at 0x7f9819cb4370>,10,1,[2 9],11,12,13,11
<environment.Job instance at 0x7f9819cb40a0>,9,16,[6 5],10,13,29,12
<environment.Job instance at 0x7f9819cb46e0>,11,27,[1 8],12,22,49,20
<environment.Job instance at 0x7f9819cb48c0>,13,22,[10  2],14,29,51,22
<environment.Job instance at 0x7f9819cb4910>,14,3,[13  1],15,51,54,25
<environment.Job instance at 0x7f9819cb49b0>,15,3,[2 6],16,49,52,25
<environment.Job instance at 0x7f9819cb4230>,6,14,[5 9],7,54,68,41
<environment.Job instance at 0x7f9819cb4a50>,16,18,[7 5],17,54,72,43
<environment.Job instance at 0x7f9819cb4b90>,18,3,[ 1 13],19,72,75,46
<environment.Job instance at 0x7f9819f65870>,0,1,[ 5 14],1,1,2,1
<environment.Job instance at 0x7f9819cb4a00>,1,1,[10  5],2,2,3,2
<environment.Job instance at 0x7f9819f65280>,2,26,[ 4 10],3,3,29,3
<environment.Job instance at 0x7f9819f65690>,3,2,[ 4 11],4,29,31,5
<environment.Job instance at 0x7f9819f650a0>,8,12,[3 8],9,31,43,14
<environment.Job instance at 0x7f9819f65cd0>,9,27,[1 5],10,31,58,29
<environment.Job instance at 0x7f9819f65050>,10,17,[1 9],11,43,60,31
<environment.Job instance at 0x7f981a017550>,0,18,[7 1],1,1,19,1
<environment.Job instance at 0x7f981a017a00>,4,26,[1 5],5,6,32,6
<environment.Job instance at 0x7f981a017370>,1,16,[1 8],2,7,23,7
<environment.Job instance at 0x7f9819aed5f0>,2,13,[3 6],3,23,36,8
<environment.Job instance at 0x7f981a017140>,5,22,[11  4],6,23,45,16
<environment.Job instance at 0x7f981a017690>,9,1,[3 7],10,36,37,16
<environment.Job instance at 0x7f981a017b90>,10,15,[11  4],11,45,60,37
<environment.Job instance at 0x7f981a0a4460>,11,17,[11  1],12,60,77,48
<environment.Job instance at 0x7f981affe910>,12,2,[ 1 14],13,60,62,48
<environment.Job instance at 0x7f981a52eaf0>,0,16,[9 2],1,1,17,1
<environment.Job instance at 0x7f981affe910>,2,2,[5 8],3,5,7,5
<environment.Job instance at 0x7f981a2daaa0>,4,21,[6 4],5,7,28,7
<environment.Job instance at 0x7f981a8e9960>,3,12,[4 6],4,17,29,8
<environment.Job instance at 0x7f981a2da780>,7,26,[9 3],8,28,54,25
<environment.Job instance at 0x7f981a2dad70>,9,28,[3 6],10,29,57,28
<environment.Job instance at 0x7f981a2da4b0>,10,2,[1 6],11,28,30,28
<environment.Job instance at 0x7f981a303be0>,11,12,[11  1],12,54,66,37
<environment.Job instance at 0x7f981a303c80>,12,15,[4 9],13,57,72,43
<environment.Job instance at 0x7f981af25910>,0,20,[5 6],1,1,21,1
<environment.Job instance at 0x7f981af25870>,1,1,[ 5 13],2,21,22,2
<environment.Job instance at 0x7f981a7cf5a0>,6,12,[6 5],7,7,19,7
<environment.Job instance at 0x7f981a7cf7d0>,4,1,[10  5],5,19,20,17
<environment.Job instance at 0x7f981a7cf9b0>,8,16,[ 3 14],9,22,38,18
<environment.Job instance at 0x7f981af256e0>,3,3,[14  1],4,38,41,29
<environment.Job instance at 0x7f981a7cf500>,9,16,[ 1 11],10,38,54,30
<environment.Job instance at 0x7f981a7cf780>,5,26,[13  4],6,41,67,39
<environment.Job instance at 0x7f981afe7a00>,0,22,[ 1 12],1,1,23,1
<environment.Job instance at 0x7f981afe7050>,2,3,[ 4 11],3,23,26,4
<environment.Job instance at 0x7f9819931370>,6,2,[10  5],7,26,28,9
<environment.Job instance at 0x7f9819931230>,5,2,[ 4 13],6,28,30,9
<environment.Job instance at 0x7f981afe7460>,1,15,[10  4],2,30,45,23
<environment.Job instance at 0x7f98199310f0>,9,14,[1 7],10,30,44,26
<environment.Job instance at 0x7f9819931870>,8,20,[ 4 14],9,45,65,37
<environment.Job instance at 0x7f981a0e4140>,0,24,[11  5],1,1,25,1
<environment.Job instance at 0x7f981a0e4be0>,1,3,[2 7],2,2,5,2
<environment.Job instance at 0x7f981abbf640>,2,1,[10  4],3,25,26,4
<environment.Job instance at 0x7f9819931870>,3,3,[3 8],4,7,10,7
<environment.Job instance at 0x7f9819d82e60>,5,17,[3 6],6,10,27,9
<environment.Job instance at 0x7f9819d334b0>,8,16,[1 5],9,25,41,12
<environment.Job instance at 0x7f9819d33690>,10,1,[ 5 12],11,41,42,15
<environment.Job instance at 0x7f981abc0f50>,11,13,[9 3],12,26,39,17
<environment.Job instance at 0x7f981abc0dc0>,6,18,[14  2],7,42,60,31
<environment.Job instance at 0x7f9819d5c730>,13,15,[3 8],14,60,75,46
<environment.Job instance at 0x7f9819d5c460>,14,13,[6 5],15,60,73,46
<environment.Job instance at 0x7f981af69140>,0,21,[13  2],1,1,22,1
<environment.Job instance at 0x7f9819d5c910>,1,1,[9 1],2,22,23,2
<environment.Job instance at 0x7f981af69690>,2,18,[ 2 11],3,3,21,3
<environment.Job instance at 0x7f981af69f00>,3,3,[8 2],4,23,26,4
<environment.Job instance at 0x7f981af69aa0>,4,3,[11  2],5,26,29,6
<environment.Job instance at 0x7f9819d5c460>,5,3,[14  5],6,29,32,11
<environment.Job instance at 0x7f981af69460>,8,16,[ 4 10],9,32,48,19
<environment.Job instance at 0x7f981af69230>,6,12,[5 4],7,32,44,19
<environment.Job instance at 0x7f981af69190>,7,14,[8 1],8,44,58,30
<environment.Job instance at 0x7f981af693c0>,13,2,[11  1],14,58,60,32
<environment.Job instance at 0x7f981af69af0>,10,17,[ 3 13],11,48,65,36
<environment.Job instance at 0x7f981af69370>,15,12,[9 4],16,65,77,48
<environment.Job instance at 0x7f981a47cd70>,0,17,[ 1 13],1,1,18,1
<environment.Job instance at 0x7f981a47c500>,5,12,[6 1],6,6,18,6
<environment.Job instance at 0x7f98197d5910>,6,2,[9 2],7,18,20,7
<environment.Job instance at 0x7f98197d5cd0>,7,2,[6 3],8,18,20,8
<environment.Job instance at 0x7f98197d5190>,8,20,[5 6],9,20,40,11
<environment.Job instance at 0x7f9823536f00>,2,14,[7 2],3,20,34,11
<environment.Job instance at 0x7f98197d5d20>,10,14,[3 8],11,34,48,19
<environment.Job instance at 0x7f98197d5a00>,11,16,[6 5],12,40,56,27
<environment.Job instance at 0x7f98197d5140>,12,14,[5 4],13,48,62,33
<environment.Job instance at 0x7f98197d5be0>,13,12,[ 3 10],14,56,68,39
<environment.Job instance at 0x7f98197d5fa0>,14,12,[11  4],15,62,74,45
<environment.Job instance at 0x7f9819850be0>,0,13,[11  1],1,1,14,1
<environment.Job instance at 0x7f98198505f0>,1,3,[ 2 11],2,2,5,2
<environment.Job instance at 0x7f981a7046e0>,2,16,[5 4],3,14,30,3
<environment.Job instance at 0x7f981a7040f0>,3,17,[ 2 10],4,5,22,4
<environment.Job instance at 0x7f981a704820>,4,3,[6 2],5,22,25,5
<environment.Job instance at 0x7f981a704fa0>,5,1,[6 3],6,25,26,6
<environment.Job instance at 0x7f981a361e60>,7,2,[5 4],8,26,28,9
<environment.Job instance at 0x7f981a30f6e0>,11,14,[5 5],12,26,40,12
<environment.Job instance at 0x7f9819b15280>,12,12,[13  3],13,40,52,23
<environment.Job instance at 0x7f981a30f140>,10,24,[4 5],11,52,76,47
<environment.Job instance at 0x7f981a8c5050>,14,16,[6 1],15,52,68,47
<environment.Job instance at 0x7f3368efdbe0>,0,28,[9 3],1,1,29,1
<environment.Job instance at 0x7f335f7a45f0>,3,3,[ 4 14],4,29,32,4
<environment.Job instance at 0x7f335f7a4820>,4,14,[1 6],5,7,21,7
<environment.Job instance at 0x7f335f7a48c0>,6,20,[6 1],7,21,41,14
<environment.Job instance at 0x7f335f7a4870>,5,24,[1 5],6,32,56,27
<environment.Job instance at 0x7f335f7a4690>,7,25,[6 2],8,40,65,40
<environment.Job instance at 0x7f335f7a4a00>,9,18,[ 2 13],10,56,74,45
<environment.Job instance at 0x7f335f7a4be0>,11,1,[8 5],12,49,50,49
<environment.Job instance at 0x7f335f732190>,0,17,[1 6],1,2,19,2
<environment.Job instance at 0x7f335f859d20>,2,3,[5 5],3,3,6,3
<environment.Job instance at 0x7f335f8590f0>,3,14,[8 1],4,4,18,4
